"","xsite","ysite"
"50",28,-175
"51",28,-176
"60",30,-184
"70",33.5,-120
"71",33.5,-137
"82",37,-160.5
"318",23,-231
"322",26.5,-265
"324",27,-265.5
"326",27.5,-264.5
"340",36.5,-295.5
"509",23,-302.5
"518",21,-385
"519",22.5,-385
"528",28,-339.5
"547",36,-312
"788",23,-477.5
"801",31,-431.5
"805",33,-441.5
"812",36.5,-457
"1034",29,-539
"1040",34,-516.5
"1046",34,-546.5
"1056",40,-536.5
"1177",29,-546
"1200",33,-615.5
"1202",29,-602
"1235",39,-632
"1244",26,-653.5
"1272",23,-669
"1282",30,-684.5
