Location,Site Description,Latitude,Longitude,MAT,MAP,ANPP,Biomass Increment,Litterfall,Foliar N,Foliar P,k,Soil Respiration,Soil N,Inorganic N,Soil P,Elevation,Soil Type,References
Australia,Basalt,-17.4,145.7,22,4300,,,,,,,,,,1515,750,Inceptisol,Gleason et al. (2009); Gleason et al. (2008)
Australia,Schist,-17.4,145.7,22,4300,,,,,,,,,,240,750,,Gleason et al. (2009); Gleason et al. (2008)
Bolivia,RAINFOR - Las Londras plot 2,-14.4,-61.1,25.9,1357,15.8,6.9,,20.1,1.06,,,0.53,,433,170,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Bolivia,RAINFOR - Los Fierros Bosque II,-14.6,-60.9,26,1313,13.4,5.4,,20.7,0.78,,,0.1,,104,225,Oxisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Bolivia,RAINFOR - Chore 1,-14.4,-61.2,26.2,1300,13.3,5.3,,22.2,0.95,,,0.1,,,170,Oxisol,Malhi et al. (2004); Fyllas et al. (2009)
Bolivia,RAINFOR - Los Fierros Bosque I,-14.6,-60.9,26,1313,12.8,5,,22.5,0.9,,,0.08,,103,225,Oxisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Bolivia,RAINFOR - Las Londras plot 1,-14.4,-61.1,25.9,1357,12.7,4.9,,23.9,1.18,,,0.52,,525,170,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Bolivia,"RAINFOR - Huanchaca Dos, plot 1",-14.6,-60.8,23.5,1332,15.9,8.3,,30.7,1.03,,,0.66,,545,615,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Borneo,Ganung - Alluvium,1.2,109.8,25,4125,24.1,16.5,8.1,,,,,0.33,,233,100,Inceptisol,Paoli et al. (2005); Paoli et al. (2007); Paoli et al. (2008)
Borneo,Ganung - Sedimentary,1.2,109.8,25,4125,15.9,9.7,7.3,,,,,0.24,,173,100,,Paoli et al. (2005); Paoli et al. (2007); Paoli et al. (2008)
