"","xsite","ysite"
"44",24.5,-155
"46",26,-124.5
"56",29,-187.5
"62",30.5,-176
"79",35.5,-180.5
"319",23.5,-299
"330",30,-245.5
"332",33.5,-211.5
"515",21.5,-362
"520",24,-393.5
"527",30,-339
"532",28.5,-361.5
"541",34.5,-336.5
"795",27,-470
"797",28.5,-427.5
"798",30,-414
"799",30.5,-495
"806",34,-458
"807",34.5,-478
"815",39.5,-496.5
"1018",22.5,-502
"1021",21,-516
"1026",20.5,-536.5
"1028",23.5,-553.5
"1029",21.5,-557
"1030",23.5,-570
"1031",21.5,-576.5
"1033",28.5,-535
"1036",28.5,-576.5
"1045",33,-536.5
"1049",35,-564.5
"1052",35,-590.5
"1055",36.5,-522.5
"1203",21.5,-604
"1245",27,-651.5
