modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	organismquantity	organismquantitytype	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	parenteventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplesizevalue	samplesizeunit	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks	dataset_url	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	migrator_version	dataset_pubdate	lastindexed	iptlicense
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25337	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25337	HHK-2464	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-05-12		132	132	1917	5	12	12 MAY 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25338	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25338	HHK-2465	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-05-14		134	134	1917	5	14	14 MAY 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25341	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25341	HHK-2468	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-05-15		135	135	1917	5	15	15 MAY 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25352	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25352	HHK-2479	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-08-24		236	236	1917	8	24	24 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Phalaropus lobatus							CHAR | Scolopacidae | Phalaropus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Phalaropus		lobatus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25353	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25353	HHK-2480	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-08-12		224	224	1917	8	12	12 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25354	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25354	HHK-2481	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-08-15		227	227	1917	8	15	15 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25355	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25355	HHK-2482	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-08-25		237	237	1917	8	25	25 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25357	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25357	HHK-2484	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-08-27		239	239	1917	8	27	27 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25358	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25358	HHK-2485	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-09-12		255	255	1917	9	12	12 SEP 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Calidris canutus rufa							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		canutus	rufa	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25361	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25361	HHK-2489	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-05		278	278	1917	10	5	05 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Pipilo fuscus senicula							PASS | Emberizidae | Pipilo	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo		fuscus	senicula	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25362	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25362	HHK-2490	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-09-04		247	247	1917	9	4	04 SEP 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Pipilo fuscus senicula							PASS | Emberizidae | Pipilo	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo		fuscus	senicula	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25363	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25363	HHK-2491	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-09		282	282	1917	10	9	09 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Cistothorus palustris plesius							PASS | Troglodytidae | Cistothorus	Animalia	Chordata	Aves	Passeriformes	Troglodytidae	Cistothorus		palustris	plesius	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25367	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25367	HHK-2495	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-12		285	285	1917	10	12	12 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Pipilo fuscus senicula							PASS | Emberizidae | Pipilo	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo		fuscus	senicula	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25374	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25374	HHK-2503	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-10-20		293	293	1917	10	20	20 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Calidris alpina pacifica							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		alpina	pacifica	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
