datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.nhm.ku.edu/ipt/resource.do?r=kubi_ornithology									http://grbio.org/cool/iakn-125z	http://grbio.org/cool/v9yz-imvc		KU	Birds	KUBI Ornithology Collection		PreservedSpecimen			weight: 34 g; fat: light; gonads: LARGEST OVUM 9 X 9 MM; skull ossification: 100%; molt: none	KU:Birds:105758	105758		LNH 2052	HUBER, LAWRENCE N.		1	female						skin		Neotropical Research Foundation # 2035; Southwestern College Collection (Max Thompson), SWC 5758														1968	7	14	14 July 1968							USA;California;San Diego					USA		California	San Diego		1 MILE EAST OF JCT. 79 AND 80															decimal degrees		32.855484	-116.578978	WGS84	767								MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	Google Earth	requires verification																																				Molothrus ater obscurus							Animalia Chordata Aves Passeriformes Fringillidae	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 2; RT= 1"" }"	urn:catalog:LACM:Birds:106239	106239			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""T = 2"" }"	urn:catalog:LACM:Birds:106241	106241			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 3 X 2; RT= 2 X 2"", ""weight"":""49.8"" }"	urn:catalog:LACM:Birds:106242	106242	ADULT; WING LININGS BLACK		GRIFFITH WILDLIFE BIOL			male	adult			native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""T = 2.5"" }"	urn:catalog:LACM:Birds:106243	106243			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""T = 1.5"" }"	urn:catalog:LACM:Birds:106245	106245			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""T = 2"" }"	urn:catalog:LACM:Birds:106247	106247			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 2 X 1.5; RT= 1.5 X 1"", ""weight"":""37.6"" }"	urn:catalog:LACM:Birds:106454	106454	PART OF LEAST BELL'S VIREO RECOVERY PLAN		GRIFFITH WILDLIFE BIOL			male				native	present	skin, skull												1991-04-05		95	95	1991	4	5	05 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; CAMP PENDLETON, SAN LUIS REY R	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; CAMP PENDLETON, SAN LUIS REY R												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 3 X 2; RT= 2 X 1.5"", ""weight"":""42.1"" }"	urn:catalog:LACM:Birds:106459	106459	TRAPPED IN LEAST BELL'S RECOVERY PLAN		GRIFFITH WILDLIFE BIOL			male				native	present	skin, skull												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 3 X 2; RT= 1.5 X 1"", ""weight"":""43.3"" }"	urn:catalog:LACM:Birds:106460	106460	TRAPPED IN LEAST BELL'S RECOVERY PLAN		GRIFFITH WILDLIFE BIOL			male				native	present	flat skin with complete skeleton												1991-04-10		100	100	1991	4	10	10 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
